symbol,token,exchange
753TN53-SG,14280,NSE
HDFC2638RQ-MF,14332,NSE
774MH33-SG,14378,NSE
SANOFI-EQ,1442,NSE
PAGEIND-EQ,14413,NSE
77MH33-SG,14425,NSE
SYSTANGO-SM,14506,NSE
766MH33-SG,14549,NSE
CHEMBOND-BE,14620,NSE
766HR29-SG,14635,NSE
777RJ33-SG,14642,NSE
774WB41-SG,14655,NSE
965SCL28-AK,14704,NSE
HFMPM23DQD-MF,14733,NSE
HFMPM23RGR-MF,14735,NSE
021NSETEST-EQ,14751,NSE
061NSETEST-EQ,14762,NSE
161NSETEST-EQ,14784,NSE
SPARC-EQ,14788,NSE
775NL33-SG,14821,NSE
777HR33-SG,14825,NSE
781UP34A-SG,14830,NSE
ALPA-EQ,14848,NSE
USK-EQ,14871,NSE
ASIANTILES-EQ,14889,NSE
CENTRALBK-EQ,14894,NSE
CSBBANK-EQ,14966,NSE
CENTUM-EQ,14982,NSE
ASTERDM-EQ,1508,NSE
SOTAC-SM,14993,NSE
761TS44-SG,15106,NSE
KAUSHALYA-BE,15140,NSE
PATTECH-SM,15137,NSE
HITECHCORP-BE,15165,NSE
INDIAGLYCO-EQ,1521,NSE
INDIANHUME-EQ,1530,NSE
PPAP-BE,15213,NSE
SHALPAINTS-BE,15346,NSE
PDMJEPAPER-EQ,15377,NSE
ACL-EQ,15420,NSE
DENEERS-SM,15449,NSE
739TN33-SG,15503,NSE
MILTON-SM,159,NSE
TARC-EQ,1581,NSE
PIGL-EQ,15716,NSE
674UP30-SG,161,NSE
INGERRAND-EQ,1597,NSE
PRINCEPIPE-EQ,16045,NSE
736AP34-SG,16066,NSE
TATAINVEST-EQ,1621,NSE
736WB43-SG,16379,NSE
732TS49-SG,16397,NSE
ANDHRAPAP-EQ,166,NSE
651KA30B-SG,1650,NSE
ITC-EQ,1660,NSE
BAJAJ-AUTO-EQ,16669,NSE
BAJAJFINSV-EQ,16675,NSE
GHCLTEXTIL-EQ,16696,NSE
HGINFRA-EQ,1672,NSE
UBL-EQ,16713,NSE
725GS2063-GS,16733,NSE
KDL-SM,16758,NSE
LOTUSEYE-EQ,16807,NSE
QNIFTY-EQ,16819,NSE
801TCH28-N7,16838,NSE
74AP32-SG,16923,NSE
734TN43-SG,16939,NSE
662UP30-SG,1695,NSE
ASHOKAMET-EQ,16943,NSE
742CG31-SG,16976,NSE
MAGSON-SM,17088,NSE
747KL42-SG,17104,NSE
743TS50-SG,17115,NSE
SHRIPISTON-EQ,17186,NSE
744TS39-SG,17224,NSE
651KA30C-SG,1727,NSE
664PY32-SG,1730,NSE
SETFGOLD-EQ,17272,NSE
737BR30-SG,17322,NSE
736KL38-SG,17327,NSE
718GS2037-GS,17398,NSE
741MN35-SG,17458,NSE
SENSEXADD-EQ,17613,NSE
744AP43-SG,17669,NSE
GPTINFRA-EQ,17685,NSE
QUESS-EQ,17704,NSE
TREL-EQ,17795,NSE
GILLANDERS-EQ,17839,NSE
GODREJPROP-EQ,17875,NSE
VINSYS-ST,17905,NSE
ABBOTINDIA-EQ,17903,NSE
TRF-EQ,17987,NSE
BPF02D3R-MF,18008,NSE
ADVENZYMES-EQ,18039,NSE
BPF02D5R-MF,18062,NSE
BPF02IMD-MF,18065,NSE
751PN36-SG,18087,NSE
BPF02IQR-MF,18093,NSE
BPF02RGG-MF,18160,NSE
BPF02RWR-MF,18163,NSE
BPF01D3R-MF,18168,NSE
IFD3DPD-MF,18176,NSE
FICRF3DP-MF,18178,NSE
FICRF3GP-MF,18179,NSE
FISTIP3MDP-MF,18183,NSE
HFMPCC75RD-MF,18192,NSE
ORIENTLTD-BE,18211,NSE
645GJ30A-SG,1827,NSE
AEROFLEX-EQ,18268,NSE
BIGBLOC-EQ,18431,NSE
ISFT-EQ,18479,NSE
940CAGL27-NB,18480,NSE
748AP38A-SG,18518,NSE
748PN34-SG,18521,NSE
748UK33-SG,18532,NSE
746GA38-SG,18522,NSE
746MH33-SG,18531,NSE
664JK36-SG,1863,NSE
HPL-EQ,18679,NSE
745HR35A-SG,18680,NSE
741JK53-SG,18687,NSE
746GA33-SG,18696,NSE
ALCODIS-SM,18762,NSE
661UP31-SG,1891,NSE
980SCL33A-N3,18904,NSE
746RJ33-SG,18939,NSE
STYRENIX-EQ,19,NSE
661RJ31-SG,1896,NSE
744WB42-SG,19000,NSE
KIRLOSIND-EQ,19025,NSE
PODDARMENT-EQ,19036,NSE
NBIFIN-EQ,19111,NSE
875NHAI29-N6,192,NSE
752TN33-SG,19162,NSE
756UP35-SG,19168,NSE
SGBJAN29IX-GB,1920,NSE
MOM50-EQ,19289,NSE
HISARMETAL-EQ,19322,NSE
AHLWEST-BE,19370,NSE
SPCENET-EQ,19372,NSE
KSB-EQ,1949,NSE
ROSSARI-EQ,19410,NSE
SCML-SM,19469,NSE
762RJ43-SG,19518,NSE
HDFCGOLD-EQ,19543,NSE
761AP43-SG,19552,NSE
IRMENERGY-EQ,19597,NSE
771RJ33-SG,19617,NSE
RCDL-SM,19681,NSE
733GS2026-GS,19685,NSE
775TS37-SG,19725,NSE
774RJ39-SG,19728,NSE
77AP43-SG,19730,NSE
GPPL-EQ,19731,NSE
948SCL26-N9,19768,NSE
AMNPLST-EQ,19867,NSE
ESAFSFB-BE,19884,NSE
77MH34-SG,19899,NSE
DMART-EQ,19913,NSE
LICHSGFIN-EQ,1997,NSE
KILITCH-BE,19941,NSE
876HUDCO28-ND,19968,NSE
714BR30-SG,20016,NSE
764NABAR31-N2,20034,NSE
940SCL26A-NK,20045,NSE
661RJ31A-SG,2016,NSE
663WB31-SG,2022,NSE
AKSHARCHEM-BE,20194,NSE
768AR33-SG,20244,NSE
657GJ29-SG,20279,NSE
SHAH-EQ,20296,NSE
718AP28-SG,20309,NSE
RESPONIND-EQ,20323,NSE
768TN30B-SG,20335,NSE
775GA33-SG,20348,NSE
779PN36-SG,20356,NSE
773AP32A-SG,20391,NSE
772HR33-SG,20393,NSE
777PN36-SG,20397,NSE
NACLIND-EQ,20425,NSE
774AS33A-SG,20476,NSE
766GJ30A-SG,20479,NSE
PRESSTONIC-SM,20498,NSE
GRAVITA-EQ,20534,NSE
SJLOGISTIC-SM,20542,NSE
764AR30-SG,20570,NSE
802ABHF28-N1,20588,NSE
PENIND-EQ,20621,NSE
935LTF29-N5,20643,NSE
656AP31-SG,20666,NSE
714GA30-SG,20667,NSE
SCHAND-EQ,20698,NSE
754AS28A-SG,20722,NSE
762KL38-SG,20739,NSE
878MFL27-NH,20749,NSE
HUDCO-EQ,20825,NSE
779SIDBI27-N0,20843,NSE
717HR30-SG,20849,NSE
722AS30-SG,20850,NSE
686TS41-SG,2095,NSE
717KA30-SG,20918,NSE
767UK33A-SG,20931,NSE
719JK29-SG,20959,NSE
798AP31-SG,20961,NSE
793KA31-SG,20965,NSE
TECHLABS-SM,21078,NSE
BFINVEST-EQ,21113,NSE
695AS30-SG,21162,NSE
9HFL34-N0,21233,NSE
78NABARD27-N0,21239,NSE
776KL35-SG,21272,NSE
777HR36-SG,21276,NSE
704MZ33-SG,2143,NSE
768JK44-SG,21288,NSE
773BR39A-SG,21539,NSE
761TS32-SG,14088,NSE
769KA40-SG,21540,NSE
655AP28-SG,21549,NSE
HALEOSLABS-EQ,21551,NSE
AUTOIND-BE,14110,NSE
76GJ35-SG,14107,NSE
BTML-EQ,14150,NSE
77HR31-SG,14159,NSE
66RJ30B-SG,1422,NSE
IZMO-EQ,14174,NSE
IMC1-N3,14228,NSE
HDFCSML250-EQ,14233,NSE
766UP33A-SG,14273,NSE
759HP38-SG,14276,NSE
INDIANB-EQ,14309,NSE
HDFC2638DG-MF,14335,NSE
758TS45-SG,14353,NSE
758RJ48-SG,14354,NSE
758KL49-SG,14355,NSE
756TN53-SG,14357,NSE
773HR32-SG,14369,NSE
668KA36-SG,1437,NSE
772BR33A-SG,14375,NSE
774UK33-SG,14376,NSE
UTIRPP36P1-MF,14401,NSE
77AP29-SG,14421,NSE
EMBDL-EQ,14450,NSE
NCLIND-EQ,14490,NSE
VERTEXPLUS-SM,14491,NSE
ICRA-EQ,14523,NSE
769MH31-SG,14531,NSE
773BR33-SG,14534,NSE
774MZ38-SG,14558,NSE
773AP32-SG,14640,NSE
776HP33-SG,14641,NSE
1015SCL28A-AL,14710,NSE
101NSETEST-EQ,14772,NSE
111NSETEST-EQ,14774,NSE
131NSETEST-EQ,14778,NSE
DECCANCE-EQ,14838,NSE
IFBIND-EQ,1485,NSE
NAGREEKCAP-EQ,14942,NSE
771AP33A-SG,14959,NSE
706GS2028-GS,14970,NSE
736MH28-SG,15009,NSE
749MH30-SG,15015,NSE
INFINIUM-SM,15036,NSE
759RJ48-SG,15109,NSE
654GA30A-SG,1516,NSE
TARIL-EQ,15174,NSE
VIRINCHI-EQ,15295,NSE
746TS48A-SG,15333,NSE
EIHAHOTELS-EQ,15399,NSE
APCOTEXIND-EQ,154,NSE
GILLETTE-EQ,1576,NSE
732TN33-SG,16029,NSE
739MN35-SG,16250,NSE
743MZ37-SG,16268,NSE
PANACHE-BE,16355,NSE
737PN38-SG,16367,NSE
CRAYONS-SM,16419,NSE
734AS33A-SG,16645,NSE
733AP42-SG,16653,NSE
SILVERAG-EQ,16777,NSE
ARCHIDPLY-EQ,16795,NSE
VINYLINDIA-EQ,16821,NSE
LPDC-EQ,16863,NSE
SPECTSTM-SM,16876,NSE
74CG30-SG,16974,NSE
74TS45-SG,16994,NSE
739RJ48-SG,16995,NSE
739KL52-SG,16998,NSE
JAYBARMARU-EQ,1708,NSE
617KL27-SG,1709,NSE
744TN33A-SG,17119,NSE
66WB30-SG,1721,NSE
744RJ33-SG,17122,NSE
PENTAGON-SM,17132,NSE
665TR35-SG,1738,NSE
TRIDHYA-ST,17215,NSE
742TN33-SG,17221,NSE
ASPINWALL-EQ,17270,NSE
BANKETF-EQ,17419,NSE
925SCL28I-BA,17546,NSE
665PN50A-SG,1757,NSE
SUNTECK-EQ,17641,NSE
745AP33-SG,17643,NSE
745AP40A-SG,17668,NSE
743TN43-SG,17670,NSE
VIJIFIN-BE,17695,NSE
BAFNAPH-BE,17735,NSE
GROBTEA-EQ,17770,NSE
747TS32-SG,17834,NSE
DBCORP-EQ,17881,NSE
ORIANA-SM,17882,NSE
HINDCOPPER-EQ,17939,NSE
COHANCE-EQ,17945,NSE
PGIMCSA2D-MF,17986,NSE
749HR33-SG,18081,NSE
75GA33-SG,18082,NSE
751MN35-SG,18084,NSE
JUBLFOOD-EQ,18096,NSE
KPIL-EQ,1814,NSE
ELECTCAST-W1,18116,NSE
FISTIP3QDP-MF,18196,NSE
FISTIPD3GP-MF,18198,NSE
FISTIPD3QD-MF,18200,NSE
744HR33-SG,18323,NSE
653TN31-SG,1839,NSE
741RJ39-SG,18335,NSE
SANDUMA-EQ,18359,NSE
MONOPHARMA-SM,18392,NSE
744AP33-SG,18400,NSE
CAGL27-NC,18485,NSE
970CAGL28-ND,18487,NSE
EMSLIMITED-EQ,18593,NSE
DIAMINESQ-EQ,18644,NSE
CHAVDA-SM,18654,NSE
664AP39-SG,1866,NSE
744MP35-SG,18703,NSE
NUVAMA-EQ,18721,NSE
DIRL-SM,18769,NSE
MAZDA-BE,18870,NSE
10SCL30A-BV,18868,NSE
657TN31-SG,1890,NSE
VBL-EQ,18921,NSE
749CG30-SG,18932,NSE
SGBMAY28-GB,18972,NSE
JSWINFRA-EQ,19020,NSE
MANAPPURAM-EQ,19061,NSE
SILLYMONKS-EQ,19097,NSE
INSPIRE-SM,19154,NSE
755MP35-SG,19165,NSE
759HR35-SG,19166,NSE
75AP41-SG,19174,NSE
KOTAKBANK-EQ,1922,NSE
749KL45-SG,19178,NSE
HEADSUP-EQ,19205,NSE
LAURUSLABS-EQ,19234,NSE
ARABIAN-SM,19253,NSE
BLISSGVS-BE,19269,NSE
EFACTOR-SM,19267,NSE
THEJO-EQ,19279,NSE
662GA31-SG,1939,NSE
TERASOFT-EQ,19292,NSE
762GJ28-SG,19480,NSE
767GA33-SG,19527,NSE
766AP37-SG,19538,NSE
772MZ38-SG,19539,NSE
PRAKASHSTL-EQ,19599,NSE
769KA33-SG,19615,NSE
77UP33-SG,19616,NSE
768MP34-SG,19619,NSE
PRICOLLTD-EQ,19631,NSE
GOLDIETF-EQ,19679,NSE
773GA33-SG,19717,NSE
774AP36-SG,19724,NSE
768TN30A-SG,19745,NSE
ADFFOODS-EQ,19761,NSE
LGHL-EQ,19876,NSE
MICROPRO-SM,19887,NSE
772TS36-SG,19902,NSE
812REC27-NI,19924,NSE
743REC35-NH,19926,NSE
760PFCL35-N3,19976,NSE
72KA31-SG,20017,NSE
HEALTHX-EQ,20063,NSE
INFRABEES-EQ,20072,NSE
61CG27-SG,2013,NSE
711AS30-SG,20100,NSE
ASKAUTOLTD-EQ,20152,NSE
772AP38-SG,20183,NSE
662RJ41-SG,2020,NSE
663HP31-SG,2021,NSE
774RJ33A-SG,20394,NSE
CIFCZC28-NH,20445,NSE
763JK53A-SG,20483,NSE
BBNPPGOLD-EQ,20547,NSE
644GJ29-SG,20601,NSE
655AS30-SG,20653,NSE
905LTF27-NF,20687,NSE
763AR33-SG,20734,NSE
645RJ27-SG,2071,NSE
852LTF27-NG,20689,NSE
706AP30-SG,20737,NSE
763WB38-SG,20743,NSE
771JK48-SG,20746,NSE
IRBINVIT-IV,20817,NSE
ZEELEARN-BE,20856,NSE
813PNBH33-N0,20903,NSE
672GA30-SG,20913,NSE
722AS29-SG,20915,NSE
766TN33-SG,20928,NSE
JALAN-ST,20930,NSE
765UP34-SG,20943,NSE
772JK43-SG,20947,NSE
RKDL-EQ,20950,NSE
990SCL26B-Y7,20995,NSE
SCLZC26F-Y9,21003,NSE
925SCL28B-YC,21016,NSE
STOVEKRAFT-EQ,2107,NSE
1025SCL33-YJ,21030,NSE
980SCL33B-YL,21044,NSE
INNOVACAP-EQ,21062,NSE
STARCEMENT-EQ,21091,NSE
SAIFL-SM,21096,NSE
688AP34-SG,21138,NSE
747GJ28-SG,21152,NSE
KLL-SM,21186,NSE
730AS29-SG,21213,NSE
728GJ29-SG,21214,NSE
NIFTYAXIS-EQ,21252,NSE
766GJ32-SG,21264,NSE
DYNPRO-EQ,21314,NSE
840CIFCL27-NI,21325,NSE
PALASHSECU-EQ,21383,NSE
649KA30-SG,21390,NSE
MFSL-EQ,2142,NSE
THEINVEST-EQ,21427,NSE
APS-SM,21451,NSE
771REC27-NJ,21470,NSE
764REC34-NK,21485,NSE
840TPL28-N2,21624,NSE
730JK29-SG,21651,NSE
DIXON-EQ,21690,NSE
ICICIGI-EQ,21770,NSE
MPTODAY-SM,21792,NSE
CADSYS-ST,21824,NSE
TEXRAIL-EQ,21828,NSE
763GJ33-SG,21856,NSE
655KL30-SG,21901,NSE
609KA28-SG,21930,NSE
719MP40-SG,21967,NSE
664MP30-SG,21971,NSE
717MP35-SG,21973,NSE
66MZ30-SG,22017,NSE
697RJ30-SG,22057,NSE
718RJ29-SG,22060,NSE
678RJ30-SG,22063,NSE
788RJ32-SG,22065,NSE
670RJ50-SG,22070,NSE
714RJ30-SG,22074,NSE
655RJ30-SG,22079,NSE
710UP30-SG,22083,NSE
765UP30-SG,22086,NSE
719UP29-SG,22092,NSE
690UP30-SG,22093,NSE
669UP30-SG,22097,NSE
721TR29-SG,22139,NSE
731WB34-SG,22141,NSE
715WB35-SG,22150,NSE
730WB29-SG,22152,NSE
662JK30-SG,22180,NSE
679JK30-SG,22182,NSE
699TS28-SG,22190,NSE
SFMP6GD-MF,10055,NSE
726JH27-SG,22196,NSE
705JH30-SG,22198,NSE
799TS30-SG,22205,NSE
731TS60-SG,22206,NSE
675KA35-SG,1006,NSE
68JK35-SG,1009,NSE
SETFNIF50-EQ,10176,NSE
714KA29-SG,22218,NSE
685WB30-SG,22219,NSE
757BOB24-N0,22234,NSE
648HR40-SG,22299,NSE
794AP34-SG,10206,NSE
795AP39-SG,10215,NSE
776HP30-SG,10235,NSE
SYNGENE-EQ,10243,NSE
662WB35-SG,22341,NSE
663KA30-SG,22410,NSE
TOTAL-EQ,22423,NSE
668AP39-SG,22455,NSE
AARON-EQ,1030,NSE
792AP42A-SG,10257,NSE
792TS45-SG,10272,NSE
SGBDE31III-GB,22476,NSE
765GA34-SG,22496,NSE
766RJ34-SG,22497,NSE
PKTEA-EQ,10321,NSE
797AP39-SG,10336,NSE
802MZ36-SG,10374,NSE
885MFL29-NJ,22513,NSE
CIF27-NM,22553,NSE
860HFL29-N1,22564,NSE
751CG32-SG,22609,NSE
749MH36-SG,22617,NSE
749AP39-SG,22618,NSE
768SIDB27-N2,22668,NSE
798RJ42-SG,10381,NSE
802WB37-SG,10384,NSE
LUPIN-EQ,10440,NSE
744AP39-SG,22701,NSE
749BR39-SG,22702,NSE
890NCPL28-N1,22737,NSE
764TN29-SG,10452,NSE
POWERMECH-EQ,10473,NSE
806JK37-SG,10477,NSE
768AS32-SG,10528,NSE
747CG30A-SG,22743,NSE
748KA33-SG,22746,NSE
748RJ34-SG,22748,NSE
745KA40-SG,22757,NSE
745JK54-SG,22760,NSE
746PN33-SG,22865,NSE
744WB44-SG,22874,NSE
742KA39-SG,22880,NSE
789HP37-SG,10551,NSE
782AP42-SG,10555,NSE
MPSLTD-EQ,10578,NSE
832TPL28-N6,22893,NSE
PLATIND-EQ,22930,NSE
HDFCNEXT50-EQ,10619,NSE
OLECTRA-EQ,10637,NSE
MUNJALSHOW-EQ,2307,NSE
738CG32-SG,23078,NSE
738CG34-SG,23080,NSE
773GJ32-SG,10648,NSE
PONNIERODE-EQ,10661,NSE
NIFTYQLITY-EQ,10690,NSE
738KL44-SG,23099,NSE
795NIIF36-N2,23140,NSE
SIGNORIA-ST,23150,NSE
765BR32A-SG,10721,NSE
INFRAIETF-EQ,10723,NSE
NCC-EQ,2319,NSE
MOREALTY-EQ,23184,NSE
748NL34-SG,23199,NSE
745KA37-SG,23205,NSE
761TN32-SG,10852,NSE
762BR32-SG,10854,NSE
JUNIORBEES-EQ,10939,NSE
TMB-EQ,10945,NSE
745WB42-SG,23211,NSE
925SCL29-YZ,23305,NSE
746MH41-SG,23330,NSE
754KL55-SG,23339,NSE
GARFIBRES-EQ,1100,NSE
747CG32-SG,23343,NSE
752GA39-SG,23357,NSE
NAMAN-SM,23379,NSE
ASPIRE-SM,23396,NSE
68TS50A-SG,1098,NSE
749HP34-SG,10959,NSE
